Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1516,1442,0.022,0.717,0.546,1,4.405,4.602,4.382,4.551,4.505,4.464,4.505,4.464,0.097,0.089,8.645,1.094,0.025,0.898,0.197,151.39,4.511,4.469,0.193,0.169,14.931,0.2,1.014,4.5,4.453,0.071,-0.934,1.412
1060,4448,0.069,2.065,0.203,1,4.925,5.268,3.173,3.551,5.086,3.359,5.086,3.359,0.172,0.145,85.906,1.187,0.094,0.734,0.381,76.251,5.085,3.366,0.365,0.331,135.0,0.398,1.044,5.075,3.342,0.114,-0.931,1.742
1412,5038,0.078,1.506,0.433,1,4.26,4.622,4.055,4.433,4.424,4.246,4.424,4.246,0.178,0.158,-39.67,1.123,0.098,0.795,0.433,139.794,4.423,4.238,0.431,0.332,144.689,0.432,0.998,4.421,4.248,0.13,-0.895,1.664
2333,8693,0.135,2.202,0.349,1,3.752,4.287,6.386,6.85,4.009,6.637,4.009,6.637,0.247,0.187,-37.17,1.323,0.171,0.787,0.547,157.126,4.03,6.645,0.539,0.406,147.131,0.549,1.004,4.004,6.657,0.154,-0.878,1.787
1060,4448,0.069,2.065,0.203,1,4.925,5.268,3.173,3.551,5.086,3.359,5.086,3.359,0.172,0.145,85.906,1.187,0.094,0.734,0.381,76.251,5.085,3.366,0.365,0.331,135.0,0.398,1.044,5.075,3.342,0.114,-0.931,1.742
1702,5179,0.08,1.73,0.337,1,6.079,6.571,4.992,5.339,6.33,5.174,6.33,5.174,0.212,0.155,21.048,1.366,0.103,0.78,0.498,8.643,6.356,5.158,0.496,0.329,13.536,0.515,1.035,6.299,5.134,0.106,-0.916,2.422
1549,4026,0.062,1.544,0.329,1,5.039,5.429,4.476,4.831,5.2,4.65,5.2,4.65,0.159,0.151,47.657,1.057,0.082,0.764,0.39,2.314,5.21,4.673,0.368,0.279,44.444,0.404,1.036,5.185,4.642,0.106,-0.919,1.9
1527,2310,0.036,1.025,0.428,1,4.905,5.142,4.409,4.661,5.019,4.534,5.019,4.534,0.134,0.104,-77.091,1.284,0.046,0.783,0.296,140.389,5.0,4.542,0.272,0.209,113.199,0.297,1.002,5.031,4.5,0.075,-0.928,1.985
1412,5038,0.078,1.506,0.433,1,4.26,4.622,4.055,4.433,4.424,4.246,4.424,4.246,0.178,0.158,-39.67,1.123,0.098,0.795,0.433,139.794,4.423,4.238,0.431,0.332,144.689,0.432,0.998,4.421,4.248,0.13,-0.895,1.664
1522,6525,0.101,1.931,0.341,1,4.031,4.492,4.398,4.752,4.255,4.58,4.255,4.58,0.231,0.152,20.752,1.523,0.124,0.819,0.501,32.816,4.247,4.571,0.486,0.337,18.853,0.483,0.963,4.217,4.567,0.13,-0.906,1.858
1612,5810,0.09,2.005,0.282,1,4.154,4.724,4.701,5.031,4.435,4.875,4.435,4.875,0.237,0.14,-13.138,1.693,0.117,0.773,0.588,166.057,4.43,4.875,0.588,0.323,166.43,0.6,1.02,4.437,4.854,0.118,-0.917,2.54
2081,3521,0.055,1.763,0.221,1,5.728,6.122,5.791,6.114,5.96,5.947,5.96,5.947,0.175,0.135,1.615,1.298,0.084,0.65,0.418,160.201,5.942,5.972,0.41,0.305,171.416,0.431,1.029,5.98,5.945,0.087,-0.942,2.487
2457,8884,0.138,2.722,0.234,1,6.449,6.917,6.842,7.421,6.663,7.162,6.663,7.162,0.262,0.189,69.4,1.388,0.189,0.727,0.583,76.339,6.64,7.178,0.565,0.437,61.742,0.595,1.02,6.673,7.209,0.138,-0.903,2.16
485,1738,0.027,0.832,0.488,1,7.874,8.063,1.555,1.807,7.968,1.693,7.968,1.693,0.121,0.088,80.923,1.372,0.032,0.833,0.258,77.661,7.967,1.699,0.256,0.169,66.615,0.264,1.023,7.965,1.705,0.075,-0.929,1.764
537,2357,0.037,1.067,0.403,1,7.236,7.465,1.756,2.047,7.355,1.897,7.355,1.897,0.132,0.103,87.921,1.28,0.047,0.784,0.293,84.596,7.36,1.902,0.292,0.224,80.538,0.298,1.017,7.354,1.898,0.087,-0.936,1.719
681,5159,0.08,1.998,0.252,1,6.512,6.815,2.268,2.799,6.656,2.491,6.656,2.491,0.213,0.144,-77.902,1.483,0.112,0.713,0.543,109.486,6.65,2.541,0.53,0.291,97.125,0.55,1.014,6.653,2.457,0.114,-0.92,2.411
724,5145,0.08,1.972,0.258,1,7.169,7.508,2.374,2.89,7.359,2.63,7.359,2.63,0.219,0.136,77.663,1.613,0.107,0.744,0.518,84.333,7.365,2.646,0.499,0.274,67.834,0.524,1.012,7.358,2.634,0.102,-0.923,2.562
1021,8298,0.129,2.638,0.232,1,7.0,7.441,3.059,3.579,7.215,3.334,7.215,3.334,0.253,0.184,-68.415,1.372,0.182,0.705,0.588,128.48,7.232,3.324,0.528,0.421,97.64,0.588,1.0,7.22,3.303,0.138,-0.902,2.134
1580,3447,0.053,1.212,0.457,1,6.567,6.791,4.594,4.976,6.66,4.755,6.66,4.755,0.19,0.106,-73.582,1.787,0.062,0.864,0.409,115.084,6.658,4.784,0.394,0.219,99.462,0.408,0.998,6.665,4.713,0.087,-0.915,2.355
1708,2595,0.04,0.994,0.512,1,5.902,6.264,5.012,5.201,6.077,5.092,6.077,5.092,0.158,0.099,-9.576,1.586,0.046,0.872,0.364,173.797,6.084,5.108,0.363,0.186,179.091,0.377,1.035,6.075,5.102,0.091,-0.923,2.083
1702,5179,0.08,1.73,0.337,1,6.079,6.571,4.992,5.339,6.33,5.174,6.33,5.174,0.212,0.155,21.048,1.366,0.103,0.78,0.498,8.643,6.356,5.158,0.496,0.329,13.536,0.515,1.035,6.299,5.134,0.106,-0.916,2.422
1669,3077,0.048,1.231,0.396,1,6.642,6.929,4.874,5.197,6.796,5.022,6.796,5.022,0.152,0.128,67.889,1.181,0.06,0.8,0.34,52.997,6.827,5.03,0.337,0.271,60.642,0.34,1.0,6.787,5.012,0.094,-0.931,1.8
1818,2038,0.032,0.996,0.4,1,7.118,7.35,5.252,5.476,7.227,5.383,7.227,5.383,0.118,0.107,-89.66,1.105,0.039,0.811,0.258,124.418,7.218,5.375,0.237,0.215,74.219,0.258,0.999,7.22,5.394,0.075,-0.936,1.721
1958,4736,0.073,1.748,0.302,1,7.11,7.496,5.465,5.779,7.3,5.601,7.3,5.601,0.198,0.143,15.067,1.392,0.103,0.71,0.424,33.247,7.298,5.614,0.39,0.308,5.711,0.423,0.998,7.256,5.571,0.098,-0.92,2.148
1743,4067,0.063,1.708,0.272,1,7.653,7.984,5.098,5.468,7.831,5.296,7.831,5.296,0.179,0.131,54.791,1.37,0.087,0.72,0.432,51.667,7.829,5.292,0.405,0.3,30.964,0.446,1.033,7.823,5.264,0.102,-0.922,2.177
1743,4067,0.063,1.708,0.272,1,7.653,7.984,5.098,5.468,7.831,5.296,7.831,5.296,0.179,0.131,54.791,1.37,0.087,0.72,0.432,51.667,7.829,5.292,0.405,0.3,30.964,0.446,1.033,7.823,5.264,0.102,-0.922,2.177
2020,5360,0.083,1.77,0.333,1,8.169,8.539,5.594,5.965,8.341,5.788,8.341,5.788,0.192,0.153,-40.727,1.259,0.101,0.823,0.419,139.574,8.346,5.801,0.418,0.343,136.637,0.419,1.0,8.346,5.779,0.118,-0.91,1.774
