Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1665,4375,0.075,1.408,0.475,1,1.582,1.88,4.157,4.575,1.717,4.373,1.717,4.373,0.19,0.142,-74.075,1.338,0.089,0.839,0.429,105.11,1.732,4.365,0.417,0.297,88.854,0.437,1.02,1.739,4.347,0.116,-0.899,1.886
1787,4905,0.084,1.659,0.384,1,2.074,2.414,4.546,4.935,2.238,4.749,2.238,4.749,0.195,0.162,86.22,1.202,0.108,0.782,0.445,61.049,2.25,4.752,0.387,0.318,97.907,0.441,0.991,2.244,4.753,0.116,-0.902,1.9
911,2759,0.047,1.257,0.376,1,4.099,4.306,2.107,2.492,4.209,2.294,4.209,2.294,0.189,0.095,-87.96,1.977,0.061,0.775,0.388,96.746,4.201,2.3,0.384,0.204,88.091,0.395,1.019,4.198,2.294,0.075,-0.926,2.65
1154,2203,0.038,0.833,0.683,1,3.979,4.235,2.778,3.031,4.133,2.898,4.133,2.898,0.125,0.114,84.049,1.097,0.042,0.896,0.261,156.682,4.148,2.897,0.25,0.236,139.899,0.262,1.001,4.128,2.886,0.091,-0.894,1.437
1509,10384,0.178,2.002,0.558,1,4.542,4.977,3.726,4.331,4.76,4.025,4.76,4.025,0.292,0.205,88.045,1.427,0.201,0.887,0.614,102.068,4.762,4.031,0.598,0.417,83.66,0.627,1.021,4.77,4.053,0.186,-0.823,1.682
1374,3399,0.058,1.307,0.429,1,4.55,4.836,3.399,3.78,4.666,3.586,4.666,3.586,0.169,0.14,-88.047,1.208,0.074,0.787,0.403,70.821,4.698,3.579,0.396,0.286,81.634,0.408,1.012,4.65,3.573,0.091,-0.908,2.241
1307,1217,0.021,0.676,0.573,1,4.471,4.695,3.238,3.391,4.577,3.316,4.577,3.316,0.108,0.081,11.246,1.34,0.025,0.839,0.241,22.166,4.578,3.325,0.235,0.147,8.746,0.243,1.005,4.567,3.312,0.062,-0.932,1.954
1265,1810,0.031,0.818,0.583,1,4.459,4.728,3.097,3.287,4.595,3.184,4.595,3.184,0.134,0.091,9.151,1.481,0.038,0.825,0.271,173.853,4.601,3.176,0.257,0.178,15.255,0.276,1.019,4.616,3.184,0.07,-0.92,1.959
1174,1512,0.026,0.776,0.541,1,4.405,4.604,2.836,3.068,4.496,2.942,4.496,2.942,0.12,0.085,-60.618,1.416,0.03,0.866,0.256,116.98,4.486,2.947,0.256,0.165,116.565,0.252,0.985,4.488,2.935,0.07,-0.934,1.789
1045,3896,0.067,1.465,0.391,1,4.923,5.229,2.476,2.906,5.083,2.678,5.083,2.678,0.212,0.118,72.956,1.798,0.083,0.808,0.439,78.584,5.08,2.701,0.435,0.265,70.56,0.435,0.99,5.072,2.646,0.099,-0.907,2.188
1037,1574,0.027,0.647,0.809,1,4.807,5.026,2.451,2.633,4.907,2.532,4.907,2.532,0.114,0.092,-28.981,1.239,0.029,0.928,0.236,158.385,4.918,2.544,0.224,0.179,176.532,0.238,1.007,4.894,2.534,0.079,-0.909,1.511
950,3411,0.058,1.136,0.569,1,4.666,5.014,2.203,2.468,4.839,2.346,4.839,2.346,0.185,0.119,11.757,1.547,0.071,0.821,0.393,37.716,4.825,2.346,0.352,0.244,7.734,0.379,0.966,4.786,2.339,0.091,-0.897,2.082
952,6689,0.115,1.487,0.651,1,5.403,5.784,2.207,2.687,5.577,2.447,5.577,2.447,0.233,0.173,-77.332,1.343,0.131,0.876,0.494,116.35,5.588,2.436,0.475,0.369,81.87,0.484,0.978,5.569,2.468,0.153,-0.827,1.579
1022,3191,0.055,1.066,0.605,1,5.163,5.444,2.41,2.687,5.306,2.546,5.306,2.546,0.157,0.125,43.616,1.261,0.061,0.898,0.343,43.531,5.318,2.54,0.334,0.26,30.579,0.34,0.993,5.312,2.534,0.108,-0.895,1.581
956,2210,0.038,0.934,0.546,1,5.155,5.444,2.211,2.41,5.285,2.31,5.285,2.31,0.145,0.103,7.341,1.412,0.046,0.817,0.298,21.209,5.298,2.312,0.286,0.192,175.486,0.304,1.022,5.237,2.294,0.075,-0.923,2.039
823,4106,0.07,1.358,0.48,1,5.072,5.469,1.859,2.198,5.284,2.045,5.284,2.045,0.189,0.14,13.74,1.35,0.084,0.841,0.406,11.768,5.286,2.016,0.403,0.302,18.97,0.415,1.022,5.3,2.049,0.108,-0.896,1.927
679,561,0.01,0.406,0.734,1,7.56,7.709,1.499,1.602,7.633,1.553,7.633,1.553,0.081,0.057,-17.732,1.419,0.011,0.9,0.156,163.009,7.627,1.552,0.154,0.1,153.435,0.159,1.02,7.631,1.548,0.041,-0.946,1.921
563,3358,0.058,1.133,0.563,1,5.415,5.714,1.296,1.611,5.575,1.458,5.575,1.458,0.162,0.132,36.43,1.232,0.068,0.848,0.359,50.618,5.601,1.435,0.352,0.285,24.775,0.359,0.999,5.577,1.457,0.104,-0.902,1.732
625,3052,0.052,1.075,0.569,1,4.687,5.001,1.416,1.689,4.849,1.539,4.849,1.539,0.165,0.115,25.872,1.442,0.061,0.86,0.339,32.525,4.848,1.524,0.339,0.244,33.232,0.34,1.005,4.865,1.536,0.095,-0.903,1.787
562,2420,0.041,0.963,0.562,1,4.981,5.159,1.296,1.648,5.065,1.464,5.065,1.464,0.168,0.093,-82.194,1.809,0.047,0.875,0.368,107.008,5.07,1.472,0.352,0.178,90.0,0.374,1.017,5.072,1.453,0.087,-0.912,2.153
479,2664,0.046,0.927,0.668,1,5.217,5.469,1.076,1.362,5.345,1.239,5.345,1.239,0.145,0.116,-61.245,1.245,0.052,0.883,0.323,119.197,5.356,1.237,0.322,0.222,115.71,0.32,0.991,5.345,1.242,0.095,-0.894,1.679
443,2009,0.034,0.993,0.439,1,4.943,5.159,1.019,1.308,5.055,1.147,5.055,1.147,0.154,0.089,67.752,1.717,0.043,0.8,0.306,59.967,5.058,1.162,0.293,0.176,76.608,0.297,0.971,5.043,1.11,0.07,-0.93,2.112
502,1345,0.023,0.686,0.616,1,4.645,4.84,1.118,1.321,4.732,1.219,4.732,1.219,0.107,0.089,-46.79,1.192,0.027,0.857,0.217,124.902,4.721,1.213,0.203,0.171,152.447,0.217,1.0,4.736,1.213,0.062,-0.924,1.747
1171,428,0.007,0.411,0.546,1,2.969,3.068,2.836,2.973,3.024,2.91,3.024,2.91,0.073,0.057,-74.461,1.273,0.009,0.78,0.145,109.983,3.015,2.904,0.133,0.096,84.56,0.147,1.014,3.022,2.919,0.037,-0.963,1.979
1791,2370,0.041,0.885,0.652,1,5.13,5.366,4.554,4.848,5.258,4.701,5.258,4.701,0.149,0.1,-63.475,1.478,0.046,0.885,0.311,126.87,5.264,4.691,0.295,0.194,108.435,0.31,0.998,5.266,4.674,0.087,-0.908,1.781
1834,2294,0.039,0.956,0.541,1,4.832,5.055,4.712,5.014,4.938,4.872,4.938,4.872,0.163,0.091,-62.949,1.796,0.047,0.839,0.321,129.237,4.94,4.871,0.32,0.183,124.992,0.321,0.999,4.956,4.848,0.075,-0.917,2.15
1909,2691,0.046,0.951,0.641,1,4.832,5.126,4.993,5.262,4.963,5.126,4.963,5.126,0.142,0.119,-34.443,1.201,0.052,0.881,0.31,157.203,4.967,5.12,0.294,0.227,132.51,0.314,1.013,4.948,5.126,0.099,-0.896,1.579
2298,2735,0.047,0.916,0.703,1,7.879,8.165,6.947,7.212,8.013,7.088,8.013,7.088,0.147,0.115,39.467,1.274,0.052,0.91,0.305,58.903,8.0,7.093,0.302,0.222,45.0,0.294,0.965,8.003,7.076,0.095,-0.896,1.544
2272,4812,0.082,1.289,0.624,1,7.999,8.338,6.728,7.134,8.175,6.913,8.175,6.913,0.186,0.162,-74.921,1.146,0.094,0.876,0.406,88.831,8.153,6.916,0.381,0.331,111.595,0.371,0.914,8.16,6.923,0.12,-0.87,1.545
2277,1372,0.024,0.669,0.66,1,8.343,8.55,6.749,6.931,8.433,6.833,8.433,6.833,0.113,0.083,-22.412,1.367,0.028,0.854,0.224,141.009,8.43,6.832,0.223,0.166,144.866,0.219,0.981,8.405,6.836,0.062,-0.929,1.767
2255,2730,0.047,0.928,0.683,1,8.521,8.81,6.649,6.91,8.672,6.786,8.672,6.786,0.14,0.122,27.636,1.143,0.051,0.917,0.308,19.654,8.67,6.8,0.263,0.249,56.31,0.311,1.012,8.678,6.773,0.099,-0.896,1.567
1598,1862,0.032,0.979,0.418,1,8.897,9.204,3.966,4.178,9.061,4.087,9.061,4.087,0.15,0.087,-15.858,1.719,0.04,0.79,0.313,168.541,9.052,4.099,0.298,0.172,151.113,0.32,1.023,9.071,4.082,0.066,-0.932,2.413
932,2612,0.045,0.989,0.576,1,8.931,9.278,2.149,2.372,9.104,2.263,9.104,2.263,0.179,0.092,-23.505,1.945,0.052,0.865,0.382,155.659,9.101,2.258,0.372,0.191,168.44,0.38,0.996,9.113,2.252,0.079,-0.904,2.416
829,7582,0.13,1.767,0.523,1,8.641,9.216,1.867,2.252,8.949,2.058,8.949,2.058,0.269,0.167,-3.972,1.615,0.153,0.85,0.596,14.906,8.938,2.067,0.52,0.358,163.496,0.614,1.032,8.98,2.049,0.157,-0.848,1.953
692,4298,0.074,1.348,0.509,1,8.707,9.034,1.532,1.917,8.881,1.714,8.881,1.714,0.199,0.136,69.604,1.459,0.089,0.826,0.418,54.265,8.892,1.698,0.408,0.278,71.565,0.418,1.0,8.885,1.726,0.112,-0.889,1.871
745,2676,0.046,1.108,0.469,1,7.072,7.337,1.673,1.983,7.201,1.823,7.201,1.823,0.14,0.128,-57.775,1.091,0.06,0.769,0.33,109.799,7.206,1.832,0.323,0.259,98.13,0.334,1.011,7.192,1.809,0.087,-0.918,1.919
496,2104,0.036,0.947,0.505,1,7.018,7.27,1.11,1.408,7.146,1.252,7.146,1.252,0.17,0.091,60.07,1.856,0.046,0.788,0.33,63.113,7.134,1.271,0.321,0.211,75.964,0.325,0.985,7.113,1.201,0.062,-0.917,2.614
413,1554,0.027,0.686,0.712,1,6.952,7.113,0.919,1.184,7.029,1.059,7.029,1.059,0.13,0.08,82.816,1.632,0.029,0.915,0.265,93.576,7.033,1.051,0.264,0.152,84.644,0.268,1.011,7.038,1.085,0.066,-0.913,2.025
143,2182,0.037,0.95,0.52,1,6.724,6.935,0.286,0.559,6.831,0.427,6.831,0.427,0.142,0.099,-69.877,1.442,0.044,0.845,0.306,116.565,6.834,0.421,0.294,0.195,100.491,0.301,0.987,6.848,0.397,0.075,-0.923,2.023
199,4277,0.073,1.296,0.549,1,8.367,8.74,0.402,0.725,8.56,0.574,8.56,0.574,0.173,0.15,-26.053,1.15,0.086,0.852,0.379,158.199,8.552,0.587,0.37,0.32,145.84,0.381,1.005,8.587,0.551,0.12,-0.882,1.586
285,2139,0.037,0.969,0.491,1,9.042,9.241,0.604,0.911,9.146,0.771,9.146,0.771,0.152,0.097,-84.688,1.57,0.044,0.825,0.313,105.322,9.138,0.762,0.306,0.193,85.101,0.32,1.02,9.129,0.778,0.079,-0.921,2.032
327,1404,0.024,0.682,0.65,1,8.388,8.583,0.7,0.898,8.485,0.786,8.485,0.786,0.102,0.094,42.733,1.083,0.028,0.874,0.216,36.431,8.491,0.773,0.21,0.181,61.928,0.212,0.981,8.483,0.783,0.075,-0.928,1.423
846,553,0.009,0.561,0.351,1,1.57,1.677,1.849,2.064,1.626,1.933,1.626,1.933,0.095,0.055,80.535,1.713,0.013,0.678,0.219,79.509,1.636,1.95,0.214,0.091,67.932,0.224,1.024,1.618,1.908,0.036,-0.968,3.123
708,751,0.012,0.65,0.355,1,2.0,2.151,1.55,1.701,2.079,1.623,2.079,1.623,0.079,0.072,-21.093,1.087,0.017,0.711,0.179,32.276,2.084,1.614,0.169,0.143,12.529,0.179,1.002,2.088,1.602,0.044,-0.96,2.046
2166,2471,0.039,1.694,0.172,1,1.207,1.498,4.725,5.08,1.387,4.864,1.387,4.864,0.162,0.107,34.901,1.506,0.063,0.624,0.435,49.456,1.401,4.853,0.43,0.239,40.4,0.449,1.033,1.394,4.865,0.068,-0.951,3.318
2657,1044,0.017,1.185,0.148,1,1.657,1.869,5.793,6.06,1.75,5.964,1.75,5.964,0.127,0.075,73.338,1.68,0.034,0.49,0.292,65.879,1.751,5.947,0.292,0.15,70.346,0.317,1.085,1.741,5.976,0.04,-0.971,3.981
2739,354,0.006,0.392,0.46,1,1.725,1.777,6.056,6.215,1.753,6.12,1.753,6.12,0.092,0.044,87.452,2.091,0.007,0.845,0.164,75.964,1.751,6.135,0.159,0.052,90.0,0.168,1.024,1.749,6.08,0.028,-0.969,3.015
2839,720,0.011,0.836,0.206,1,2.327,2.518,6.299,6.466,2.43,6.395,2.43,6.395,0.104,0.062,-22.475,1.683,0.019,0.597,0.214,131.987,2.428,6.412,0.21,0.132,143.531,0.216,1.007,2.442,6.39,0.032,-0.971,3.388
246,775,0.012,0.766,0.263,1,3.207,3.371,0.51,0.717,3.288,0.648,3.288,0.648,0.095,0.078,64.737,1.22,0.024,0.519,0.216,73.909,3.3,0.62,0.195,0.161,101.041,0.234,1.087,3.287,0.661,0.04,-0.967,2.941
311,909,0.014,0.833,0.261,1,3.295,3.43,0.669,0.936,3.368,0.769,3.368,0.769,0.113,0.067,74.299,1.681,0.022,0.644,0.271,80.676,3.382,0.808,0.267,0.127,70.821,0.277,1.022,3.355,0.737,0.048,-0.963,2.892
752,2074,0.033,1.364,0.222,1,2.546,2.785,1.645,1.948,2.674,1.805,2.674,1.805,0.156,0.098,66.935,1.599,0.051,0.649,0.337,54.62,2.673,1.785,0.31,0.22,82.461,0.344,1.021,2.697,1.821,0.06,-0.951,2.88
815,1518,0.024,1.199,0.211,1,2.753,2.968,1.793,2.056,2.843,1.913,2.843,1.913,0.12,0.095,52.973,1.252,0.043,0.56,0.292,55.008,2.859,1.921,0.256,0.212,93.9,0.292,1.0,2.817,1.884,0.06,-0.958,2.44
1239,1379,0.022,0.891,0.347,1,2.789,2.984,2.765,2.992,2.892,2.869,2.892,2.869,0.111,0.081,-64.818,1.369,0.028,0.776,0.251,117.378,2.889,2.864,0.243,0.16,131.82,0.25,0.996,2.888,2.869,0.064,-0.949,1.963
1255,1214,0.019,0.918,0.288,1,3.239,3.43,2.797,3.004,3.349,2.883,3.349,2.883,0.115,0.079,42.84,1.445,0.026,0.75,0.24,41.634,3.366,2.88,0.24,0.157,40.462,0.252,1.05,3.319,2.865,0.048,-0.959,2.634
1808,1442,0.023,1.007,0.283,1,2.43,2.673,3.94,4.179,2.543,4.056,2.543,4.056,0.132,0.086,41.548,1.533,0.036,0.629,0.285,56.976,2.521,4.091,0.281,0.215,66.194,0.309,1.085,2.522,4.028,0.06,-0.956,2.587
1723,1178,0.019,0.847,0.328,1,2.291,2.478,3.729,3.98,2.386,3.872,2.386,3.872,0.123,0.076,50.934,1.632,0.026,0.712,0.262,73.217,2.383,3.833,0.261,0.154,64.799,0.269,1.024,2.414,3.892,0.052,-0.956,2.593
1918,472,0.007,0.589,0.271,1,2.263,2.375,4.223,4.426,2.325,4.356,2.325,4.356,0.106,0.055,-78.111,1.938,0.014,0.541,0.211,105.35,2.311,4.326,0.198,0.107,82.875,0.215,1.021,2.311,4.378,0.028,-0.974,3.858
2657,1044,0.017,1.185,0.148,1,1.657,1.869,5.793,6.06,1.75,5.964,1.75,5.964,0.127,0.075,73.338,1.68,0.034,0.49,0.292,65.879,1.751,5.947,0.292,0.15,70.346,0.317,1.085,1.741,5.976,0.04,-0.971,3.981
2737,525,0.008,0.538,0.361,1,1.53,1.637,6.048,6.195,1.586,6.101,1.586,6.101,0.071,0.063,-68.253,1.128,0.011,0.729,0.155,107.969,1.584,6.122,0.147,0.108,90.0,0.159,1.024,1.59,6.088,0.04,-0.967,1.991
587,1696,0.027,0.986,0.348,1,4.9,5.088,1.263,1.502,4.999,1.368,4.999,1.368,0.128,0.086,-65.025,1.483,0.034,0.785,0.292,128.904,5.002,1.39,0.253,0.168,98.973,0.292,1.0,5.0,1.343,0.068,-0.945,2.153
486,2863,0.045,1.311,0.332,1,4.406,4.685,1.056,1.39,4.553,1.213,4.553,1.213,0.155,0.11,-62.723,1.406,0.059,0.774,0.342,102.095,4.56,1.213,0.321,0.231,135.0,0.35,1.022,4.566,1.187,0.084,-0.93,2.091
703,1199,0.019,1.203,0.165,1,4.876,5.131,1.538,1.833,5.003,1.675,5.003,1.675,0.142,0.075,36.559,1.898,0.037,0.509,0.324,47.49,5.048,1.668,0.315,0.192,33.254,0.339,1.044,5.0,1.665,0.044,-0.967,3.864
1381,3863,0.061,1.387,0.401,1,5.072,5.518,3.056,3.283,5.317,3.183,5.317,3.183,0.209,0.108,-3.834,1.925,0.075,0.814,0.456,168.395,5.295,3.169,0.446,0.227,0.0,0.465,1.022,5.347,3.171,0.088,-0.912,2.655
