Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
65,80,80,34.495,0.845,1,481,493,199,209,487.450,203.550,487.450,203.550,6.485,4.158,24.727,1.560,85,0.941,13.416,26.565,487.793,203.017,13.370,9.099,21.801,13.414,1.000,485,202,4,4.436,1.677
66,255,255,76.249,0.551,1,168,197,201,219,185.457,209.257,185.457,209.257,13.764,7.340,3.986,1.875,322,0.792,29.155,174.094,183.500,207.000,27.727,17.441,26.565,29.814,1.023,189,208,6,7.024,2.485
67,505,505,119.899,0.441,1,191,226,204,232,207.718,218.169,207.718,218.169,15.011,12.450,24.063,1.206,655,0.771,35.057,176.730,210.238,217.885,32.982,27.656,23.629,36.414,1.039,205,214,8,8.162,2.276
68,103,103,41.524,0.751,1,215,231,205,215,222.063,209.374,222.063,209.374,8.074,4.279,17.450,1.887,114,0.904,17.088,20.556,222.527,209.260,17.088,9.714,20.556,17.414,1.019,218,208,4,5.051,2.177
69,111,111,43.095,0.751,1,477,493,206,218,484.824,211.752,484.824,211.752,8.347,4.420,23.992,1.889,126,0.881,17.493,30.964,485.086,212.534,17.270,10.213,21.801,17.414,0.996,481,210,4,5.722,2.177
70,185,185,60.390,0.637,1,464,478,207,227,470.970,217.500,470.970,217.500,10.466,6.078,78.183,1.722,218,0.849,21.932,65.772,471.662,216.973,21.207,13.481,80.538,22.014,1.004,469,215,5,6.152,2.201
71,871,871,115.742,0.817,1,299,338,211,242,320.887,224.470,320.887,224.470,18.979,15.464,13.322,1.227,921,0.946,41.146,25.942,318.500,226.500,39.000,31.000,0.000,41.014,0.997,321,224,14,15.143,1.465
72,267,267,77.494,0.559,1,226,251,212,235,237.811,224.710,237.811,224.710,14.111,7.210,54.326,1.957,328,0.814,29.682,32.619,236.463,225.329,28.580,16.242,51.340,29.014,0.978,239,227,6,6.563,2.418
73,1016,1016,176.172,0.411,1,331,377,212,253,353.019,232.474,353.019,232.474,22.678,17.431,1.680,1.301,1344,0.756,49.659,154.983,351.675,229.832,48.361,38.884,168.111,48.214,0.971,347,231,11,10.951,2.192
74,105,105,53.456,0.462,1,487,494,217,240,491.329,225.957,491.329,225.957,12.047,3.293,82.314,3.659,121,0.868,23.770,75.379,490.500,228.500,23.000,7.000,90.000,24.414,1.027,493,222,6,3.762,2.035
75,485,485,99.693,0.613,1,273,307,220,244,290.694,231.840,290.694,231.840,14.500,11.395,25.533,1.273,553,0.877,35.440,16.390,290.000,232.000,34.000,24.000,0.000,36.214,1.022,291,229,9,10.197,2.012
76,56,56,30.377,0.763,1,249,260,222,231,254.107,227.179,254.107,227.179,5.148,3.722,29.514,1.383,61,0.918,11.402,15.255,254.000,227.500,10.607,7.778,45.000,11.814,1.036,253,227,4,3.167,1.477
77,15,15,15.304,0.805,1,225,231,224,229,227.967,226.367,227.967,226.367,3.284,1.594,37.502,2.061,16,0.938,6.708,26.565,228.000,226.500,6.364,3.536,45.000,6.814,1.016,226,224,1,1.667,3.407
78,240,240,75.789,0.525,1,462,488,228,243,472.875,234.946,472.875,234.946,11.924,7.656,-8.465,1.558,297,0.808,26.926,158.199,475.000,235.500,26.000,15.000,0.000,27.214,1.011,471,233,6,6.275,2.268
79,21,21,16.414,0.979,1,377,382,229,235,379.262,232.119,379.262,232.119,2.801,2.510,-75.964,1.116,22,0.955,6.325,108.435,379.500,232.000,6.000,5.000,90.000,6.614,1.046,378,231,2,3.333,1.654
80,174,174,55.352,0.714,1,206,219,231,251,212.695,241.052,212.695,241.052,10.803,5.387,-68.085,2.005,196,0.888,22.204,125.838,212.737,240.216,21.931,11.676,113.962,22.014,0.991,214,236,5,7.235,2.201
81,12,12,14.844,0.684,1,0,2,232,239,0.917,235.500,0.917,235.500,3.606,1.143,90.000,3.156,12,1.000,7.071,81.870,1.000,235.500,7.000,2.000,90.000,7.414,1.049,0,234,2,2.222,1.854
82,348,348,82.588,0.641,1,185,205,236,263,194.563,248.914,194.563,248.914,13.407,9.535,73.902,1.406,411,0.847,30.414,62.592,195.000,249.500,27.000,20.000,90.000,30.014,0.987,192,246,7,8.576,2.144
83,308,308,72.227,0.742,1,475,494,238,264,485.302,249.279,485.302,249.279,12.906,8.063,54.084,1.601,345,0.893,28.844,56.310,485.829,249.782,27.876,18.114,40.601,28.814,0.999,482,245,7,8.697,2.058
84,288,288,87.205,0.476,1,215,236,240,267,225.260,252.556,225.260,252.556,13.920,7.922,53.432,1.757,370,0.778,31.385,59.349,227.007,253.705,28.837,17.859,34.992,31.214,0.995,222,248,6,6.194,2.601
85,651,651,148.246,0.372,1,273,303,243,289,288.999,260.976,288.999,260.976,22.350,12.110,82.764,1.846,872,0.747,47.074,77.735,291.500,264.500,46.802,27.196,71.565,48.214,1.024,289,256,9,8.719,2.679
86,144,144,49.664,0.734,1,457,475,244,256,468.062,249.861,468.062,249.861,8.687,5.821,-7.760,1.492,161,0.894,18.974,161.565,466.000,250.000,18.000,12.000,0.000,19.414,1.023,470,248,5,5.905,1.941
87,5,5,8.045,0.971,1,60,63,247,250,61.500,248.500,61.500,248.500,1.390,1.390,0.000,1.000,5,1.000,3.162,71.565,61.500,248.500,2.828,2.828,45.000,3.414,1.080,61,247,1,1.667,1.707
88,1294,1294,215.014,0.352,1,99,158,250,304,127.139,277.105,127.139,277.105,25.581,19.440,12.059,1.316,1910,0.677,59.841,9.620,128.073,273.878,57.440,43.767,25.907,61.214,1.023,124,275,14,11.712,2.186
89,35,35,24.784,0.716,1,303,313,253,259,308.300,256.014,308.300,256.014,5.399,2.270,-18.234,2.378,41,0.854,10.440,163.301,308.077,255.885,10.394,5.295,168.690,10.814,1.036,310,254,2,2.810,2.704
90,508,508,147.825,0.292,1,305,354,259,286,328.732,271.250,328.732,271.250,25.000,8.223,-26.684,3.040,767,0.662,54.120,152.488,329.572,271.609,51.235,23.544,173.290,53.614,0.991,328,269,6,6.248,4.468
91,265,265,81.612,0.500,1,453,484,259,280,470.908,270.587,470.908,270.587,14.586,7.936,-20.411,1.838,354,0.749,31.780,167.276,470.354,272.546,31.098,18.257,155.376,32.614,1.026,472,273,6,5.811,2.718
92,8,8,9.941,1.017,1,158,161,263,267,159.500,265.000,159.500,265.000,1.826,1.528,90.000,1.195,8,1.000,4.123,75.964,159.500,265.000,4.000,3.000,90.000,4.414,1.071,159,263,1,1.667,2.207
93,448,448,95.766,0.614,1,168,200,263,286,187.837,272.859,187.837,272.859,15.322,10.666,24.850,1.437,516,0.868,36.056,33.690,184.052,271.964,33.720,22.987,10.305,36.014,0.999,189,273,10,8.681,1.801
